id,pres1_jenjang,pres2_jenjang,pres3_jenjang,juara_pres1,juara_pres2,juara_pres3
20442,Nasional,Nasional,Propinsi,,Medali Perak,
20447,,,,,,
20448,,,,,,
20451,Nasional,,,,,
20456,,,,,,
20460,,,,,,
20461,,,,,,
20462,Internasional,Internasional,Internasional,Medali Emas,Medali Emas,Medali Emas
20463,Kabupaten/Kota,Nasional,,Juara 2,,
20464,,,,,,
20465,Nasional,Nasional,,,Juara 3,
20466,,,,,,
20468,Nasional,,,,,
20469,Nasional,Nasional,Nasional,Juara 2,Juara 1,
20470,Nasional,,,,,
20471,Propinsi,,,,,
20474,,,,,,
20476,Propinsi,Propinsi,Propinsi,Juara 2,Juara 1,Juara 1
20478,,,,,,
20481,Nasional,Nasional,Nasional,Juara 3,Medali Emas,
20482,,,,,,
20483,,,,,,
20484,Nasional,Nasional,Nasional,Juara 1,Medali Emas,Medali Emas
20485,,,,,,
20486,Internasional,Nasional,,Juara 2,Juara 2,
20487,Nasional,,,,,
20488,Nasional,,,,,
20489,,,,,,
20490,Nasional,Nasional,,,,
20491,Nasional,Nasional,Nasional,Medali Perak,Medali Perunggu,Medali Perunggu
20492,Internasional,Internasional,Internasional,Juara 2,,
20493,Kabupaten/Kota,Kabupaten/Kota,Nasional,,,
20495,Nasional,,,Medali Emas,,
20497,,,,,,
20498,,,,,,
20499,,,,,,
20500,Nasional,Nasional,Nasional,,,Medali Emas
20501,Internasional,Nasional,,Juara 2,Juara 3,
20502,Nasional,,,,,
20503,Nasional,Nasional,,,Juara 1,
20509,,,,,,
20511,Kabupaten/Kota,,,,,
20512,,,,,,
20513,Nasional,Nasional,Nasional,Juara 1,,
20514,Kabupaten/Kota,Propinsi,,Juara 2,Juara 2,
20518,,,,,,
20519,,,,,,
20520,Propinsi,,,,,
20521,,,,,,
20522,Nasional,Nasional,Nasional,Medali Perunggu,Medali Perak,Medali Perunggu
20524,Nasional,Nasional,,Juara 3,,
20525,Internasional,Nasional,Nasional,Juara 2,,
20526,Nasional,Kabupaten/Kota,Nasional,Medali Emas,,
20530,Nasional,Nasional,Nasional,,Medali Perak,Medali Emas
20533,,,,,,
20534,,,,,,
20535,Nasional,Nasional,Kabupaten/Kota,Juara 1,Juara 1,Juara 1
20536,,,,,,
20537,,,,,,
20538,,,,,,
20540,,,,,,
20541,,,,,,
20542,Nasional,,,Juara 1,,
20544,Kabupaten/Kota,Nasional,,Juara 2,,
20545,Nasional,,Kabupaten/Kota,,,
20546,,,,,,
20547,,,,,,
20548,Nasional,Internasional,Nasional,Medali Emas,,
20549,,,,,,
20551,,,,,,
20552,Nasional,,,,,
20554,Nasional,Nasional,Internasional,,Juara 2,Medali Perak
20555,,,,,,
20556,Nasional,,,,,
